NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR;PCR;PERC_PCR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
CATALUNYA;CATALUNYA;2020-08-01;2020-08-07;No;160.351;0.997292;77.1789;5871;995.0845;75696;8.1092;450;75;32
CATALUNYA;CATALUNYA;2020-08-01;2020-08-07;--;;;0.0000;132;0.0000;1166;6.2390;49;28;0
CATALUNYA;CATALUNYA;2020-08-01;2020-08-07;Si;;;286.7273;186;6454.4473;4187;5.2422;46;1;26
CATALUNYA;CATALUNYA;2020-07-31;2020-08-06;--;;;0.0000;130;0.0000;1173;6.2882;65;30;0
CATALUNYA;CATALUNYA;2020-07-31;2020-08-06;Si;;;212.7331;138;6577.7709;4267;3.8504;47;1;28
CATALUNYA;CATALUNYA;2020-07-31;2020-08-06;No;163.776;1.01968;77.9545;5930;989.3266;75258;8.2950;459;81;34
CATALUNYA;CATALUNYA;2020-07-30;2020-08-05;--;;;0.0000;115;0.0000;1168;5.9597;72;29;0
CATALUNYA;CATALUNYA;2020-07-30;2020-08-05;Si;;;201.9423;131;6445.1980;4181;4.1360;51;1;29
CATALUNYA;CATALUNYA;2020-07-30;2020-08-05;No;168.39;1.03502;79.2823;6031;982.4382;74734;8.4503;449;75;38
CATALUNYA;CATALUNYA;2020-07-29;2020-08-04;No;171.592;1.04835;80.1105;6094;1011.9900;76982;8.3376;453;75;41
CATALUNYA;CATALUNYA;2020-07-29;2020-08-04;--;;;0.0000;134;0.0000;1175;7.0313;75;29;0
CATALUNYA;CATALUNYA;2020-07-29;2020-08-04;Si;;;268.2287;174;6411.2841;4159;5.3167;57;0;28
CATALUNYA;CATALUNYA;2020-07-28;2020-08-03;Si;;;300.6012;195;6343.4561;4115;5.6513;60;0;27
CATALUNYA;CATALUNYA;2020-07-28;2020-08-03;No;174.849;1.05612;81.5434;6203;1000.7897;76130;8.5048;465;78;40
CATALUNYA;CATALUNYA;2020-07-28;2020-08-03;--;;;0.0000;133;0.0000;1111;7.2477;74;26;0
CATALUNYA;CATALUNYA;2020-07-27;2020-08-02;--;;;0.0000;119;0.0000;1089;7.2233;85;6;0
